ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
JPN,Japan,East Asia & Pacific,-0.006269535511114123,0.973,0.023,0.0,0.004,0.996,0.027
SVK,Slovak Republic,Europe & Central Asia,-0.006239844192620449,0.948,0.042,0.0,0.01,0.99,0.052
GRC,Greece,Europe & Central Asia,-0.006193288999982038,0.95,0.041,0.0,0.009,0.991,0.05
GRD,Grenada,Latin America & Caribbean,-0.00607111451629852,0.761,0.137,0.0,0.102,0.898,0.239
THA,Thailand,East Asia & Pacific,-0.005962140571206362,0.939,0.045,0.0,0.016,0.984,0.061
CUW,Curacao,Latin America & Caribbean,-0.005680130328803184,0.779,0.112,0.0,0.109,0.891,0.221
PYF,French Polynesia,East Asia & Pacific,-0.0054058777820003255,0.948,0.039,0.0,0.013,0.987,0.052
URY,Uruguay,Latin America & Caribbean,-0.005404241861586746,0.807,0.111,0.0,0.082,0.918,0.193
MLT,Malta,Middle East & North Africa,-0.005327973317134469,0.935,0.047,0.0,0.018,0.982,0.065
CHL,Chile,Latin America & Caribbean,-0.005083739915792673,0.789,0.116,0.0,0.095,0.905,0.211
BRB,Barbados,Latin America & Caribbean,-0.0048962117038442885,0.806,0.094,0.0,0.1,0.9,0.194
ESP,Spain,Europe & Central Asia,-0.004854896588131024,0.964,0.021,0.0,0.015,0.985,0.036
ABW,Aruba,Latin America & Caribbean,-0.0047763584165992886,0.81,0.102,0.0,0.088,0.912,0.19
SGP,Singapore,East Asia & Pacific,-0.0044366776287386315,0.766,0.126,0.0,0.108,0.892,0.234
ATG,Antigua and Barbuda,Latin America & Caribbean,-0.004233240966693909,0.85,0.081,0.0,0.069,0.931,0.15
CRI,Costa Rica,Latin America & Caribbean,-0.004030228225040147,0.818,0.071,0.0,0.111,0.889,0.182
CZE,Czechia,Europe & Central Asia,-0.0035004899770982568,0.977,0.012,0.0,0.011,0.989,0.023
SVN,Slovenia,Europe & Central Asia,-0.003433895074012327,0.974,0.014,0.0,0.012,0.988,0.026
BRA,Brazil,Latin America & Caribbean,-0.0034289251557810554,0.802,0.074,0.0,0.124,0.876,0.198
HUN,Hungary,Europe & Central Asia,-0.0034211518103341013,0.977,0.014,0.0,0.009,0.991,0.023
GEO,Georgia,Europe & Central Asia,-0.0032717964605490477,0.978,0.014,0.0,0.008,0.992,0.022
CPV,Cabo Verde,Sub-Saharan Africa,-0.0030292318799192337,0.821,0.064,0.0,0.115,0.885,0.179
SLV,El Salvador,Latin America & Caribbean,-0.00292917107889958,0.848,0.053,0.0,0.099,0.901,0.152
AUT,Austria,Europe & Central Asia,-0.002752233678607425,0.976,0.015,0.0,0.009,0.991,0.024
FIN,Finland,Europe & Central Asia,-0.002625876639227528,0.986,0.012,0.0,0.002,0.998,0.014
ARG,Argentina,Latin America & Caribbean,-0.0023383433803795097,0.878,0.036,0.0,0.086,0.914,0.122
DEU,Germany,Europe & Central Asia,-0.002317119613286237,0.975,0.007,0.0,0.018,0.982,0.025
PRT,Portugal,Europe & Central Asia,-0.0022990200414834392,0.973,0.016,0.0,0.011,0.989,0.027
TUN,Tunisia,Middle East & North Africa,-0.001867983450746906,0.958,0.013,0.0,0.029,0.971,0.042
BTN,Bhutan,South Asia,-0.0017979304262801677,0.98,0.006,0.0,0.014,0.986,0.02
RUS,Russian Federation,Europe & Central Asia,-0.001791443709589219,0.983,0.006,0.0,0.011,0.989,0.017
IRN,"Iran, Islamic Rep.",Middle East & North Africa,-0.0017695577950338278,0.934,0.018,0.0,0.048,0.952,0.066
SYC,Seychelles,Sub-Saharan Africa,-0.0015457039745705495,0.861,0.032,0.0,0.107,0.893,0.139
COL,Colombia,Latin America & Caribbean,-0.0015300132551766571,0.861,0.02,0.0,0.119,0.881,0.139
MDV,Maldives,South Asia,-0.001389095608325991,0.983,0.003,0.0,0.014,0.986,0.017
VNM,Viet Nam,East Asia & Pacific,-0.0012686908884816316,0.988,0.004,0.0,0.008,0.992,0.012
MMR,Myanmar,East Asia & Pacific,-0.001224014534933989,0.991,0.002,0.0,0.007,0.993,0.009
LKA,Sri Lanka,South Asia,-0.0011007630603424015,0.989,0.002,0.0,0.009,0.991,0.011
ISL,Iceland,Europe & Central Asia,-0.0010732379279570121,0.974,0.006,0.0,0.02,0.98,0.026
CYP,Cyprus,Europe & Central Asia,-0.0008289166166248644,0.984,0.003,0.0,0.013,0.987,0.016
BEL,Belgium,Europe & Central Asia,-0.0007826944306577328,0.991,0.0,0.0,0.009,0.991,0.009
FJI,Fiji,East Asia & Pacific,-0.0007192434407606443,0.98,0.005,0.0,0.015,0.985,0.02
NLD,Netherlands,Europe & Central Asia,-0.0005311735592178839,0.989,0.001,0.0,0.01,0.99,0.011
AZE,Azerbaijan,Europe & Central Asia,-0.00040755192471529726,0.984,0.0,0.0,0.016,0.984,0.016
NOR,Norway,Europe & Central Asia,-0.0003904263155649124,0.924,0.005,0.0,0.071,0.929,0.076
DNK,Denmark,Europe & Central Asia,-0.0002538084191743623,0.991,0.0,0.0,0.009,0.991,0.009
PHL,Philippines,East Asia & Pacific,-0.00018550635931784172,0.994,0.0,0.0,0.006,0.994,0.006
MAR,Morocco,Middle East & North Africa,-6.81761453671487e-05,0.961,0.0,0.0,0.039,0.961,0.039
MEX,Mexico,Latin America & Caribbean,-6.169737796760202e-05,0.89,0.001,0.0,0.109,0.891,0.11
VEN,"Venezuela, RB",Latin America & Caribbean,-5.802509061181762e-05,0.864,0.001,0.0,0.135,0.865,0.136
BRN,Brunei Darussalam,East Asia & Pacific,5.9155704870787096e-05,0.979,0.0,0.001,0.02,0.979,0.02
IRL,Ireland,Europe & Central Asia,7.764839555348425e-05,0.926,0.0,0.003,0.071,0.926,0.071
DOM,Dominican Republic,Latin America & Caribbean,0.00028176809956395425,0.924,0.0,0.005,0.071,0.924,0.071
CHE,Switzerland,Europe & Central Asia,0.00029768197180287233,0.935,0.0,0.006,0.059,0.935,0.059
FRA,France,Europe & Central Asia,0.00037732675336735666,0.989,0.0,0.0,0.011,0.989,0.011
IND,India,South Asia,0.00048357165651052484,0.996,0.0,0.0,0.004,0.996,0.004
IDN,Indonesia,East Asia & Pacific,0.0005465357471664174,0.994,0.0,0.0,0.006,0.994,0.006
ECU,Ecuador,Latin America & Caribbean,0.0006764157492827223,0.907,0.0,0.012,0.081,0.907,0.081
GUY,Guyana,Latin America & Caribbean,0.0008856415564351946,0.924,0.0,0.017,0.059,0.924,0.059
SWE,Sweden,Europe & Central Asia,0.0009104105937492638,0.983,0.0,0.004,0.013,0.983,0.013
BLZ,Belize,Latin America & Caribbean,0.0009228135498519075,0.922,0.0,0.014,0.064,0.922,0.064
NPL,Nepal,South Asia,0.0009336393135391279,0.988,0.0,0.0,0.012,0.988,0.012
GBR,United Kingdom,Europe & Central Asia,0.0009483748834326445,0.991,0.0,0.001,0.008,0.991,0.008
SWZ,Eswatini,Sub-Saharan Africa,0.0009992206409777677,0.933,0.0,0.018,0.049,0.933,0.049
LUX,Luxembourg,Europe & Central Asia,0.0013893524849924472,0.937,0.0,0.014,0.049,0.937,0.049
NZL,New Zealand,East Asia & Pacific,0.0014294550294342073,0.984,0.0,0.005,0.011,0.984,0.011
PER,Peru,Latin America & Caribbean,0.001435887360563034,0.901,0.0,0.02,0.079,0.901,0.079
SUR,Suriname,Latin America & Caribbean,0.001462290059175028,0.899,0.0,0.026,0.075,0.899,0.075
TON,Tonga,East Asia & Pacific,0.0016252451160123499,0.992,0.0,0.002,0.006,0.992,0.006
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,0.001636003652428086,0.995,0.0,0.002,0.003,0.995,0.003
LAO,Lao PDR,East Asia & Pacific,0.002303357297731328,0.996,0.0,0.0,0.004,0.996,0.004
BGD,Bangladesh,South Asia,0.0024192744620818133,0.984,0.0,0.006,0.01,0.984,0.01
USA,United States,North America,0.0026120390472455907,0.933,0.0,0.032,0.035,0.933,0.035
MYS,Malaysia,East Asia & Pacific,0.002810883812733879,0.993,0.0,0.004,0.003,0.993,0.003
LBN,Lebanon,Middle East & North Africa,0.0028179774583694645,0.964,0.0,0.018,0.018,0.964,0.018
NIC,Nicaragua,Latin America & Caribbean,0.0028850853672521956,0.87,0.0,0.041,0.089,0.87,0.089
HTI,Haiti,Latin America & Caribbean,0.003319756969097304,0.889,0.0,0.038,0.073,0.889,0.073
KHM,Cambodia,East Asia & Pacific,0.003341765650492869,0.992,0.0,0.004,0.004,0.992,0.004
PRY,Paraguay,Latin America & Caribbean,0.003510591310065138,0.923,0.0,0.04,0.037,0.923,0.037
PAN,Panama,Latin America & Caribbean,0.0035296593714432907,0.912,0.0,0.038,0.05,0.912,0.05
LBY,Libya,Middle East & North Africa,0.003707789431548931,0.942,0.0,0.038,0.02,0.942,0.02
TKM,Turkmenistan,Europe & Central Asia,0.0037244925241086122,0.99,0.0,0.005,0.005,0.99,0.005
CAN,Canada,North America,0.003938919810374673,0.953,0.0,0.024,0.023,0.953,0.023
DZA,Algeria,Middle East & North Africa,0.004214249244236407,0.956,0.0,0.025,0.019,0.956,0.019
LSO,Lesotho,Sub-Saharan Africa,0.004374514488417071,0.932,0.0,0.044,0.024,0.932,0.024
GTM,Guatemala,Latin America & Caribbean,0.0045001775133341115,0.914,0.0,0.047,0.039,0.914,0.039
TLS,Timor-Leste,East Asia & Pacific,0.004507748147073438,0.992,0.0,0.008,0.0,0.992,0.0
BOL,Bolivia,Latin America & Caribbean,0.004713300091887258,0.915,0.0,0.053,0.032,0.915,0.032
ZAF,South Africa,Sub-Saharan Africa,0.005100513383199327,0.859,0.0,0.076,0.065,0.859,0.065
BWA,Botswana,Sub-Saharan Africa,0.005525452870264606,0.934,0.0,0.05,0.016,0.934,0.016
HND,Honduras,Latin America & Caribbean,0.005961209606219346,0.927,0.0,0.051,0.022,0.927,0.022
MNG,Mongolia,East Asia & Pacific,0.006085649094744447,0.992,0.0,0.007,0.001,0.992,0.001
AUS,Australia,East Asia & Pacific,0.006307605847916645,0.984,0.0,0.013,0.003,0.984,0.003
KAZ,Kazakhstan,Europe & Central Asia,0.006470284567833515,0.99,0.0,0.007,0.003,0.99,0.003
KIR,Kiribati,East Asia & Pacific,0.006630007311328459,0.992,0.0,0.006,0.002,0.992,0.002
WSM,Samoa,East Asia & Pacific,0.007432974024187753,0.99,0.0,0.008,0.002,0.99,0.002
PNG,Papua New Guinea,East Asia & Pacific,0.007456632690761783,0.992,0.0,0.007,0.001,0.992,0.001
SLE,Sierra Leone,Sub-Saharan Africa,0.008050456235381283,0.906,0.0,0.076,0.018,0.906,0.018
JOR,Jordan,Middle East & North Africa,0.00806379502114093,0.927,0.0,0.064,0.009,0.927,0.009
KEN,Kenya,Sub-Saharan Africa,0.008068629483618129,0.9,0.0,0.085,0.015,0.9,0.015
TJK,Tajikistan,Europe & Central Asia,0.008496885216845163,0.985,0.0,0.013,0.002,0.985,0.002
BHR,Bahrain,Middle East & North Africa,0.008603632082911363,0.929,0.0,0.059,0.012,0.929,0.012
KWT,Kuwait,Middle East & North Africa,0.00875947498585396,0.901,0.0,0.078,0.021,0.901,0.021
NAM,Namibia,Sub-Saharan Africa,0.008763131088077558,0.895,0.0,0.086,0.019,0.895,0.019
GHA,Ghana,Sub-Saharan Africa,0.00886817803106403,0.907,0.0,0.074,0.019,0.907,0.019
PAK,Pakistan,South Asia,0.009340079848749076,0.996,0.0,0.004,0.0,0.996,0.0
UZB,Uzbekistan,Europe & Central Asia,0.009411359796586707,0.98,0.0,0.016,0.004,0.98,0.004
NGA,Nigeria,Sub-Saharan Africa,0.00943849624240861,0.91,0.0,0.079,0.011,0.91,0.011
PSE,West Bank and Gaza,Middle East & North Africa,0.009695757730687857,0.961,0.0,0.038,0.001,0.961,0.001
SAU,Saudi Arabia,Middle East & North Africa,0.009704073106065669,0.94,0.0,0.054,0.006,0.94,0.006
ISR,Israel,Middle East & North Africa,0.009785205476426955,0.982,0.0,0.016,0.002,0.982,0.002
BFA,Burkina Faso,Sub-Saharan Africa,0.009868805925526134,0.943,0.0,0.054,0.003,0.943,0.003
GNB,Guinea-Bissau,Sub-Saharan Africa,0.009883156094660355,0.906,0.0,0.081,0.013,0.906,0.013
GIN,Guinea,Sub-Saharan Africa,0.010189324478265118,0.928,0.0,0.063,0.009,0.928,0.009
IRQ,Iraq,Middle East & North Africa,0.01029059768183427,0.985,0.0,0.015,0.0,0.985,0.0
COM,Comoros,Sub-Saharan Africa,0.010405130484901673,0.88,0.0,0.106,0.014,0.88,0.014
ZWE,Zimbabwe,Sub-Saharan Africa,0.010578138657863044,0.882,0.0,0.099,0.019,0.882,0.019
LBR,Liberia,Sub-Saharan Africa,0.010708167614988493,0.807,0.0,0.159,0.034,0.807,0.034
SLB,Solomon Islands,East Asia & Pacific,0.010712992713101499,0.977,0.0,0.023,0.0,0.977,0.0
STP,Sao Tome and Principe,Sub-Saharan Africa,0.01077050378722811,0.889,0.0,0.099,0.012,0.889,0.012
OMN,Oman,Middle East & North Africa,0.010902295660077421,0.949,0.0,0.046,0.005,0.949,0.005
RWA,Rwanda,Sub-Saharan Africa,0.010955012885027551,0.906,0.0,0.086,0.008,0.906,0.008
ARE,United Arab Emirates,Middle East & North Africa,0.01135381684565757,0.914,0.0,0.079,0.007,0.914,0.007
QAT,Qatar,Middle East & North Africa,0.011440028316485912,0.922,0.0,0.072,0.006,0.922,0.006
UGA,Uganda,Sub-Saharan Africa,0.011606615364390324,0.951,0.0,0.047,0.002,0.951,0.002
SEN,Senegal,Sub-Saharan Africa,0.012270676531295648,0.881,0.0,0.109,0.01,0.881,0.01
GNQ,Equatorial Guinea,Sub-Saharan Africa,0.012791778211179798,0.931,0.0,0.066,0.003,0.931,0.003
MDG,Madagascar,Sub-Saharan Africa,0.012921270421463717,0.79,0.0,0.193,0.017,0.79,0.017
VUT,Vanuatu,East Asia & Pacific,0.012926811395147491,0.98,0.0,0.02,0.0,0.98,0.0
BDI,Burundi,Sub-Saharan Africa,0.01304998720813801,0.898,0.0,0.095,0.007,0.898,0.007
SDN,Sudan,Sub-Saharan Africa,0.013134486939291,0.817,0.0,0.169,0.014,0.817,0.014
GAB,Gabon,Sub-Saharan Africa,0.013161203847549284,0.876,0.0,0.119,0.005,0.876,0.005
MWI,Malawi,Sub-Saharan Africa,0.013219463211397485,0.929,0.0,0.07,0.001,0.929,0.001
BEN,Benin,Sub-Saharan Africa,0.013249217747966618,0.902,0.0,0.094,0.004,0.902,0.004
TGO,Togo,Sub-Saharan Africa,0.013377675060408411,0.906,0.0,0.092,0.002,0.906,0.002
ETH,Ethiopia,Sub-Saharan Africa,0.013459158241970108,0.931,0.0,0.069,0.0,0.931,0.0
MOZ,Mozambique,Sub-Saharan Africa,0.01451244821671221,0.947,0.0,0.051,0.002,0.947,0.002
ZMB,Zambia,Sub-Saharan Africa,0.014563838854827734,0.857,0.0,0.14,0.003,0.857,0.003
CMR,Cameroon,Sub-Saharan Africa,0.014680063721191409,0.884,0.0,0.115,0.001,0.884,0.001
AFG,Afghanistan,South Asia,0.014687260753561642,0.994,0.0,0.006,0.0,0.994,0.0
MLI,Mali,Sub-Saharan Africa,0.015475268394181417,0.929,0.0,0.071,0.0,0.929,0.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,0.015541106056774895,0.886,0.0,0.11,0.004,0.886,0.004
MRT,Mauritania,Sub-Saharan Africa,0.015755293141426326,0.827,0.0,0.165,0.008,0.827,0.008
NER,Niger,Sub-Saharan Africa,0.015945196596216238,0.848,0.0,0.149,0.003,0.848,0.003
TCD,Chad,Sub-Saharan Africa,0.016202887486692467,0.901,0.0,0.097,0.002,0.901,0.002
CAF,Central African Republic,Sub-Saharan Africa,0.016569295695794618,0.781,0.0,0.211,0.008,0.781,0.008
SOM,Somalia,Sub-Saharan Africa,0.016647244895644713,0.893,0.0,0.103,0.004,0.893,0.004
TZA,Tanzania,Sub-Saharan Africa,0.017681760962026907,0.843,0.0,0.152,0.005,0.843,0.005
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,0.01804676979284399,0.727,0.0,0.265,0.008,0.727,0.008
AGO,Angola,Sub-Saharan Africa,0.018110018546841276,0.874,0.0,0.124,0.002,0.874,0.002
